timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
3.552303, 13, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0594757944345474 0.0594757944345474 0.0594757944345474], 
3.552303, 13, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0669201761484146 0.0669201761484146 0.0669201761484146], 
3.552303, 13, 1B96C00C, 190.000000, [0 1 27], [0 0.03125 27], [0.0345953479409218 0.0345953479409218 0.0345953479409218], 
3.552303, 13, 89A42D1A, 190.000000, [0 1 17], [0 0.03125 17], [0.0260022543370724 0.0260022543370724 0.0260022543370724], 
3.552303, 13, 9531C9E8, 190.000000, [0 0 -2], [0 0 -2], [0.040218461304903 0.040218461304903 0.040218461304903], 
3.552303, 13, 98E2D7D2, 190.000000, [1 1 19], [0.03125 0.03125 19], [0.0242339018732309 0.0242339018732309 0.0242339018732309], 
3.552303, 13, CCE52F79, 190.000000, [1 0 -16], [0.03125 0 -16], [0.0216640364378691 0.0216640364378691 0.0216640364378691], 
3.848328, 14, B37B3544, 190.000000, [0 0 1], [0 0 1], [0.0573620945215225 0.0573620945215225 0.0573620945215225], 
3.848328, 14, A50F49E7, 190.000000, [0 0 4], [0 0 4], [0.0614434517920017 0.0614434517920017 0.0614434517920017], 
3.848328, 14, 1B96C00C, 190.000000, [0 -1 -8], [0 -0.03125 -8], [0.0341184325516224 0.0341184325516224 0.0341184325516224], 
3.848328, 14, 89A42D1A, 190.000000, [0 0 9], [0 0 9], [0.0238026939332485 0.0238026939332485 0.0238026939332485], 
3.848328, 14, 9531C9E8, 190.000000, [0 0 1], [0 0 1], [0.0388078093528748 0.0388078093528748 0.0388078093528748], 
3.848328, 14, 98E2D7D2, 190.000000, [0 0 5], [0 0 5], [0.0237221531569958 0.0237221531569958 0.0237221531569958], 
3.848328, 14, CCE52F79, 190.000000, [-12 6 18], [-0.375 0.1875 18], [0.0200172960758209 0.0200172960758209 0.0200172960758209], 
4.144354, 15, B37B3544, 190.000000, [0 0 11], [0 0 11], [0.0600706748664379 0.0600706748664379 0.0600706748664379], 
4.144354, 15, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.06524907797575 0.06524907797575 0.06524907797575], 
4.144354, 15, 1B96C00C, 190.000000, [0 0 11], [0 0 11], [0.0350569859147072 0.0350569859147072 0.0350569859147072], 
4.144354, 15, 89A42D1A, 190.000000, [0 0 3], [0 0 3], [0.0263578221201897 0.0263578221201897 0.0263578221201897], 
4.144354, 15, 9531C9E8, 190.000000, [0 0 17], [0 0 17], [0.0400266274809837 0.0400266274809837 0.0400266274809837], 
4.144354, 15, 98E2D7D2, 190.000000, [0 0 -1], [0 0 -1], [0.0201298762112856 0.0201298762112856 0.0201298762112856], 
4.144354, 15, CCE52F79, 190.000000, [-4 -11 -10], [-0.125 -0.34375 -10], [0.0214788839221001 0.0214788839221001 0.0214788839221001], 
4.440379, 16, B37B3544, 190.000000, [0 0 3], [0 0 3], [0.05851861089468 0.05851861089468 0.05851861089468], 
4.440379, 16, A50F49E7, 190.000000, [0 0 4], [0 0 4], [0.0618280470371246 0.0618280470371246 0.0618280470371246], 
4.440379, 16, 1B96C00C, 190.000000, [0 0 15], [0 0 15], [0.0356059558689594 0.0356059558689594 0.0356059558689594], 
4.440379, 16, 89A42D1A, 190.000000, [0 0 -1], [0 0 -1], [0.0248165614902973 0.0248165614902973 0.0248165614902973], 
4.440379, 16, 9531C9E8, 190.000000, [0 0 5], [0 0 5], [0.0408756472170353 0.0408756472170353 0.0408756472170353], 
4.440379, 16, 98E2D7D2, 190.000000, [0 0 7], [0 0 7], [0.0236993823200464 0.0236993823200464 0.0236993823200464], 
4.440379, 16, CCE52F79, 190.000000, [0 0 21], [0 0 21], [0.020330311730504 0.020330311730504 0.020330311730504], 
4.736404, 17, B37B3544, 190.000000, [0 0 3], [0 0 3], [0.0618057623505592 0.0618057623505592 0.0618057623505592], 
4.736404, 17, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0618628785014153 0.0618628785014153 0.0618628785014153], 
4.736404, 17, 1B96C00C, 190.000000, [0 0 8], [0 0 8], [0.0332940518856049 0.0332940518856049 0.0332940518856049], 
4.736404, 17, 89A42D1A, 190.000000, [0 -1 -12], [0 -0.03125 -12], [0.0240637306123972 0.0240637306123972 0.0240637306123972], 
4.736404, 17, 9531C9E8, 190.000000, [0 0 6], [0 0 6], [0.0386199131608009 0.0386199131608009 0.0386199131608009], 
4.736404, 17, 98E2D7D2, 190.000000, [0 -1 -7], [0 -0.03125 -7], [0.0215274337679148 0.0215274337679148 0.0215274337679148], 
4.736404, 17, CCE52F79, 190.000000, [-1 -1 -21], [-0.03125 -0.03125 -21], [0.0194246936589479 0.0194246936589479 0.0194246936589479], 
5.032430, 18, B37B3544, 190.000000, [0 0 7], [0 0 7], [0.0607329457998276 0.0607329457998276 0.0607329457998276], 
5.032430, 18, A50F49E7, 190.000000, [0 0 1], [0 0 1], [0.0655135363340378 0.0655135363340378 0.0655135363340378], 
5.032430, 18, 1B96C00C, 190.000000, [0 0 -6], [0 0 -6], [0.0349273309111595 0.0349273309111595 0.0349273309111595], 
5.032430, 18, 89A42D1A, 190.000000, [0 0 5], [0 0 5], [0.0291133634746075 0.0291133634746075 0.0291133634746075], 
5.032430, 18, 9531C9E8, 190.000000, [0 0 12], [0 0 12], [0.0390094965696335 0.0390094965696335 0.0390094965696335], 
5.032430, 18, 98E2D7D2, 190.000000, [0 1 17], [0 0.03125 17], [0.0216888729482889 0.0216888729482889 0.0216888729482889], 
5.032430, 18, CCE52F79, 190.000000, [8 -86 16], [0.25 -2.6875 16], [0.0207216758280993 0.0207216758280993 0.0207216758280993], 
5.328455, 19, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0601804330945015 0.0601804330945015 0.0601804330945015], 
5.328455, 19, A50F49E7, 190.000000, [0 0 2], [0 0 2], [0.0678707584738731 0.0678707584738731 0.0678707584738731], 
5.328455, 19, 1B96C00C, 190.000000, [0 0 0], [0 0 0], [0.0347990319132805 0.0347990319132805 0.0347990319132805], 
5.328455, 19, 89A42D1A, 190.000000, [0 -2 -27], [0 -0.0625 -27], [0.024547727778554 0.024547727778554 0.024547727778554], 
5.328455, 19, 9531C9E8, 190.000000, [0 0 6], [0 0 6], [0.0381332375109196 0.0381332375109196 0.0381332375109196], 
5.328455, 19, 98E2D7D2, 190.000000, [0 1 26], [0 0.03125 26], [0.0233405120670795 0.0233405120670795 0.0233405120670795], 
5.328455, 19, CCE52F79, 190.000000, [0 0 17], [0 0 17], [0.018684484064579 0.018684484064579 0.018684484064579], 
5.624481, 20, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0618625283241272 0.0618625283241272 0.0618625283241272], 
5.624481, 20, A50F49E7, 190.000000, [0 0 4], [0 0 4], [0.0651532709598541 0.0651532709598541 0.0651532709598541], 
5.624481, 20, 1B96C00C, 190.000000, [0 0 0], [0 0 0], [0.0327544361352921 0.0327544361352921 0.0327544361352921], 
5.624481, 20, 89A42D1A, 190.000000, [0 0 4], [0 0 4], [0.0247347578406334 0.0247347578406334 0.0247347578406334], 
5.624481, 20, 9531C9E8, 190.000000, [0 0 -1], [0 0 -1], [0.0417261943221092 0.0417261943221092 0.0417261943221092], 
5.624481, 20, 98E2D7D2, 190.000000, [0 1 -11], [0 0.03125 -11], [0.0216021277010441 0.0216021277010441 0.0216021277010441], 
5.624481, 20, CCE52F79, 190.000000, [1 2 26], [0.03125 0.0625 26], [0.020157502964139 0.020157502964139 0.020157502964139], 
5.920506, 21, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.060405720025301 0.060405720025301 0.060405720025301], 
5.920506, 21, A50F49E7, 190.000000, [0 0 5], [0 0 5], [0.0653761848807335 0.0653761848807335 0.0653761848807335], 
5.920506, 21, 1B96C00C, 190.000000, [0 0 -6], [0 0 -6], [0.0360543467104435 0.0360543467104435 0.0360543467104435], 
5.920506, 21, 89A42D1A, 190.000000, [0 0 20], [0 0 20], [0.0258330851793289 0.0258330851793289 0.0258330851793289], 
5.920506, 21, 9531C9E8, 190.000000, [0 0 26], [0 0 26], [0.0373893827199936 0.0373893827199936 0.0373893827199936], 
5.920506, 21, 98E2D7D2, 190.000000, [0 -1 15], [0 -0.03125 15], [0.0235233157873154 0.0235233157873154 0.0235233157873154], 
5.920506, 21, CCE52F79, 190.000000, [0 -1 -6], [0 -0.03125 -6], [0.0213944651186466 0.0213944651186466 0.0213944651186466], 
